,gene,site,strand,chromosome,exon,BE,guide1,guide2,guide3,guide4,guide5
0,HNF4A,splice acceptor,+,20,2.0,ABE,chr20:44390453-44390472,chr20:44390452-44390471,chr20:44390451-44390470,chr20:44390450-44390469,chr20:44390449-44390468
1,HNF4A,splice acceptor,+,20,3.0,ABE,chr20:44406053-44406072,chr20:44406052-44406071,chr20:44406051-44406070,chr20:44406050-44406069,chr20:44406049-44406068
2,HNF4A,splice acceptor,+,20,4.0,ABE,chr20:44407376-44407395,chr20:44407375-44407394,chr20:44407374-44407393,chr20:44407373-44407392,chr20:44407372-44407391
3,HNF4A,splice acceptor,+,20,5.0,ABE,chr20:44413689-44413708,chr20:44413688-44413707,chr20:44413687-44413706,chr20:44413686-44413705,chr20:44413685-44413704
4,HNF4A,splice acceptor,+,20,6.0,ABE,chr20:44414502-44414521,chr20:44414501-44414520,chr20:44414500-44414519,chr20:44414499-44414518,chr20:44414498-44414517
5,HNF4A,splice acceptor,+,20,7.0,ABE,chr20:44418420-44418439,chr20:44418419-44418438,chr20:44418418-44418437,chr20:44418417-44418436,chr20:44418416-44418435
6,HNF4A,splice acceptor,+,20,8.0,ABE,chr20:44419716-44419735,chr20:44419715-44419734,chr20:44419714-44419733,chr20:44419713-44419732,chr20:44419712-44419731
0,HNF4A,splice donor,-,20,2.0,ABE,chr20:44390665-44390684,chr20:44390666-44390685,chr20:44390667-44390686,chr20:44390668-44390687,chr20:44390669-44390688
1,HNF4A,splice donor,-,20,3.0,ABE,chr20:44406218-44406237,chr20:44406219-44406238,chr20:44406220-44406239,chr20:44406221-44406240,chr20:44406222-44406241
2,HNF4A,splice donor,-,20,4.0,ABE,chr20:44407461-44407480,chr20:44407462-44407481,chr20:44407463-44407482,chr20:44407464-44407483,chr20:44407465-44407484
3,HNF4A,splice donor,-,20,5.0,ABE,chr20:44413786-44413805,chr20:44413787-44413806,chr20:44413788-44413807,chr20:44413789-44413808,chr20:44413790-44413809
4,HNF4A,splice donor,-,20,6.0,ABE,chr20:44414648-44414667,chr20:44414649-44414668,chr20:44414650-44414669,chr20:44414651-44414670,chr20:44414652-44414671
5,HNF4A,splice donor,-,20,7.0,ABE,chr20:44418498-44418517,chr20:44418499-44418518,chr20:44418500-44418519,chr20:44418501-44418520,chr20:44418502-44418521
6,HNF4A,splice donor,-,20,8.0,ABE,chr20:44419862-44419881,chr20:44419863-44419882,chr20:44419864-44419883,chr20:44419865-44419884,chr20:44419866-44419885
