#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
923	NM_001287184	chr20	+	44355698	44424643	44390639	44424379	9	44355698,44390457,44406057,44407380,44413693,44414506,44418424,44419720,44424017,	44355853,44390679,44406232,44407475,44413800,44414662,44418512,44419876,44424643,	0	HNF4A	cmpl	cmpl	-1,0,1,2,1,0,0,1,1,
115	NM_001287182	chr20	+	44355698	44434595	44390639	44429665	11	44355698,44390457,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44355853,44390679,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428457,44434595,	0	HNF4A	cmpl	cmpl	-1,0,1,2,1,0,0,1,1,1,1,
923	NM_001030004	chr20	+	44355698	44424643	44355804	44424379	8	44355698,44406057,44407380,44413693,44414506,44418424,44419720,44424017,	44355853,44406232,44407475,44413800,44414662,44418512,44419876,44424643,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,
115	NM_001030003	chr20	+	44355698	44434595	44355804	44429665	10	44355698,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44355853,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428457,44434595,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,1,1,
923	NM_001287183	chr20	+	44355800	44432845	44390639	44429665	11	44355800,44390457,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44355853,44390679,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428487,44432845,	0	HNF4A	cmpl	cmpl	-1,0,1,2,1,0,0,1,1,1,1,
923	NM_175914	chr20	+	44355800	44432845	44355804	44429665	10	44355800,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44355853,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428487,44432845,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,1,1,
115	NM_001258355	chr20	+	44401238	44434595	44401484	44429665	11	44401238,44402553,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44401487,44402644,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428487,44434595,	0	HNF4A	cmpl	cmpl	0,0,1,2,1,0,0,1,1,1,1,
115	NM_000457	chr20	+	44401238	44434595	44401372	44429665	10	44401238,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44401487,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428487,44434595,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,1,1,
923	NM_178850	chr20	+	44401238	44424643	44401372	44424379	8	44401238,44406057,44407380,44413693,44414506,44418424,44419720,44424017,	44401487,44406232,44407475,44413800,44414662,44418512,44419876,44424643,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,
115	NM_178849	chr20	+	44401238	44434595	44401372	44429665	10	44401238,44406057,44407380,44413693,44414506,44418424,44419720,44424017,44428334,44429522,	44401487,44406232,44407475,44413800,44414662,44418512,44419876,44424254,44428457,44434595,	0	HNF4A	cmpl	cmpl	0,1,2,1,0,0,1,1,1,1,
