,gene,site,strand,chromosome,exon,BE,guide1,guide2,guide3,guide4,guide5
0,ACAT2,splice acceptor,+,6,2.0,ABE,chr6:159762914-159762933,chr6:159762913-159762932,chr6:159762912-159762931,chr6:159762911-159762930,chr6:159762910-159762929
1,ACAT2,splice acceptor,+,6,3.0,ABE,chr6:159767000-159767019,chr6:159766999-159767018,chr6:159766998-159767017,chr6:159766997-159767016,chr6:159766996-159767015
2,ACAT2,splice acceptor,+,6,4.0,ABE,chr6:159768506-159768525,chr6:159768505-159768524,chr6:159768504-159768523,chr6:159768503-159768522,chr6:159768502-159768521
3,ACAT2,splice acceptor,+,6,5.0,ABE,chr6:159775165-159775184,chr6:159775164-159775183,chr6:159775163-159775182,chr6:159775162-159775181,chr6:159775161-159775180
4,ACAT2,splice acceptor,+,6,6.0,ABE,chr6:159776145-159776164,chr6:159776144-159776163,chr6:159776143-159776162,chr6:159776142-159776161,chr6:159776141-159776160
5,ACAT2,splice acceptor,+,6,7.0,ABE,chr6:159777297-159777316,chr6:159777296-159777315,chr6:159777295-159777314,chr6:159777294-159777313,chr6:159777293-159777312
6,ACAT2,splice acceptor,+,6,8.0,ABE,chr6:159778165-159778184,chr6:159778164-159778183,chr6:159778163-159778182,chr6:159778162-159778181,chr6:159778161-159778180
0,ACAT2,splice donor,-,6,2.0,ABE,chr6:159763039-159763058,chr6:159763040-159763059,chr6:159763041-159763060,chr6:159763042-159763061,chr6:159763043-159763062
1,ACAT2,splice donor,-,6,3.0,ABE,chr6:159767172-159767191,chr6:159767173-159767192,chr6:159767174-159767193,chr6:159767175-159767194,chr6:159767176-159767195
2,ACAT2,splice donor,-,6,4.0,ABE,chr6:159768614-159768633,chr6:159768615-159768634,chr6:159768616-159768635,chr6:159768617-159768636,chr6:159768618-159768637
3,ACAT2,splice donor,-,6,5.0,ABE,chr6:159775299-159775318,chr6:159775300-159775319,chr6:159775301-159775320,chr6:159775302-159775321,chr6:159775303-159775322
4,ACAT2,splice donor,-,6,6.0,ABE,chr6:159776258-159776277,chr6:159776259-159776278,chr6:159776260-159776279,chr6:159776261-159776280,chr6:159776262-159776281
5,ACAT2,splice donor,-,6,7.0,ABE,chr6:159777442-159777461,chr6:159777443-159777462,chr6:159777444-159777463,chr6:159777445-159777464,chr6:159777446-159777465
6,ACAT2,splice donor,-,6,8.0,ABE,chr6:159778266-159778285,chr6:159778267-159778286,chr6:159778268-159778287,chr6:159778269-159778288,chr6:159778270-159778289
