,gene,site,strand,chromosome,exon,BE,guide1,guide2,guide3,guide4,guide5
0,LSS,splice donor,+,21,2.0,ABE,chr21:46191061-46191080,chr21:46191060-46191079,chr21:46191059-46191078,chr21:46191058-46191077,chr21:46191057-46191076
1,LSS,splice donor,+,21,3.0,ABE,chr21:46191876-46191895,chr21:46191875-46191894,chr21:46191874-46191893,chr21:46191873-46191892,chr21:46191872-46191891
2,LSS,splice donor,+,21,4.0,ABE,chr21:46194486-46194505,chr21:46194485-46194504,chr21:46194484-46194503,chr21:46194483-46194502,chr21:46194482-46194501
3,LSS,splice donor,+,21,5.0,ABE,chr21:46195671-46195690,chr21:46195670-46195689,chr21:46195669-46195688,chr21:46195668-46195687,chr21:46195667-46195686
4,LSS,splice donor,+,21,6.0,ABE,chr21:46196197-46196216,chr21:46196196-46196215,chr21:46196195-46196214,chr21:46196194-46196213,chr21:46196193-46196212
5,LSS,splice donor,+,21,7.0,ABE,chr21:46205831-46205850,chr21:46205830-46205849,chr21:46205829-46205848,chr21:46205828-46205847,chr21:46205827-46205846
6,LSS,splice donor,+,21,8.0,ABE,chr21:46206667-46206686,chr21:46206666-46206685,chr21:46206665-46206684,chr21:46206664-46206683,chr21:46206663-46206682
7,LSS,splice donor,+,21,9.0,ABE,chr21:46207423-46207442,chr21:46207422-46207441,chr21:46207421-46207440,chr21:46207420-46207439,chr21:46207419-46207438
8,LSS,splice donor,+,21,10.0,ABE,chr21:46208246-46208265,chr21:46208245-46208264,chr21:46208244-46208263,chr21:46208243-46208262,chr21:46208242-46208261
9,LSS,splice donor,+,21,11.0,ABE,chr21:46209549-46209568,chr21:46209548-46209567,chr21:46209547-46209566,chr21:46209546-46209565,chr21:46209545-46209564
10,LSS,splice donor,+,21,12.0,ABE,chr21:46210683-46210702,chr21:46210682-46210701,chr21:46210681-46210700,chr21:46210680-46210699,chr21:46210679-46210698
11,LSS,splice donor,+,21,13.0,ABE,chr21:46213020-46213039,chr21:46213019-46213038,chr21:46213018-46213037,chr21:46213017-46213036,chr21:46213016-46213035
12,LSS,splice donor,+,21,14.0,ABE,chr21:46213733-46213752,chr21:46213732-46213751,chr21:46213731-46213750,chr21:46213730-46213749,chr21:46213729-46213748
13,LSS,splice donor,+,21,15.0,ABE,chr21:46215175-46215194,chr21:46215174-46215193,chr21:46215173-46215192,chr21:46215172-46215191,chr21:46215171-46215190
14,LSS,splice donor,+,21,16.0,ABE,chr21:46215680-46215699,chr21:46215679-46215698,chr21:46215678-46215697,chr21:46215677-46215696,chr21:46215676-46215695
15,LSS,splice donor,+,21,17.0,ABE,chr21:46216384-46216403,chr21:46216383-46216402,chr21:46216382-46216401,chr21:46216381-46216400,chr21:46216380-46216399
