,gene,site,strand,chromosome,exon,BE,guide1,guide2,guide3,guide4,guide5
0,MYLIP,splice acceptor,+,6,2.0,ABE,chr6:16130552-16130571,chr6:16130551-16130570,chr6:16130550-16130569,chr6:16130549-16130568,chr6:16130548-16130567
1,MYLIP,splice acceptor,+,6,3.0,ABE,chr6:16141620-16141639,chr6:16141619-16141638,chr6:16141618-16141637,chr6:16141617-16141636,chr6:16141616-16141635
2,MYLIP,splice acceptor,+,6,4.0,ABE,chr6:16143015-16143034,chr6:16143014-16143033,chr6:16143013-16143032,chr6:16143012-16143031,chr6:16143011-16143030
3,MYLIP,splice acceptor,+,6,5.0,ABE,chr6:16143694-16143713,chr6:16143693-16143712,chr6:16143692-16143711,chr6:16143691-16143710,chr6:16143690-16143709
4,MYLIP,splice acceptor,+,6,6.0,ABE,chr6:16144892-16144911,chr6:16144891-16144910,chr6:16144890-16144909,chr6:16144889-16144908,chr6:16144888-16144907
0,MYLIP,splice donor,-,6,2.0,ABE,chr6:16130733-16130752,chr6:16130734-16130753,chr6:16130735-16130754,chr6:16130736-16130755,chr6:16130737-16130756
1,MYLIP,splice donor,-,6,3.0,ABE,chr6:16141796-16141815,chr6:16141797-16141816,chr6:16141798-16141817,chr6:16141799-16141818,chr6:16141800-16141819
2,MYLIP,splice donor,-,6,4.0,ABE,chr6:16143203-16143222,chr6:16143204-16143223,chr6:16143205-16143224,chr6:16143206-16143225,chr6:16143207-16143226
3,MYLIP,splice donor,-,6,5.0,ABE,chr6:16143849-16143868,chr6:16143850-16143869,chr6:16143851-16143870,chr6:16143852-16143871,chr6:16143853-16143872
4,MYLIP,splice donor,-,6,6.0,ABE,chr6:16145303-16145322,chr6:16145304-16145323,chr6:16145305-16145324,chr6:16145306-16145325,chr6:16145307-16145326
